n02666196	abacus
n02667093	abaya
n02667379	abbey
n02669723	academic gown, academic robe, judge's robe
n02672831	accordion, piano accordion, squeeze box
n02676566	acoustic guitar
n02676938	acropolis
n02680754	adjustable wrench, adjustable spanner
n02681392	adobe, adobe brick
n02686121	airbus
n02686568	aircraft
n02687172	aircraft carrier, carrier, flattop, attack aircraft carrier
n02687423	aircraft engine
n02687682	air cushion, air spring
n02687821	airdock, hangar, repair shed
n02687992	airfield, landing field, flying field, field
n02688273	air filter, air cleaner
n02689274	air gun, airgun, air rifle
n02690373	airliner
n02691156	airplane, aeroplane, plane
n02692086	airplane propeller, airscrew, prop
n02692232	airport, airdrome, aerodrome, drome
n02692877	airship, dirigible
n02693246	air terminal, airport terminal
n02694045	aisle
n02694426	alarm, warning device, alarm system
n02694662	alarm clock, alarm
n02699494	altar
n02699629	altar, communion table, Lord's table
n02699770	altarpiece, reredos
n02701002	ambulance
n02701730	American organ
n02704645	amphibian, amphibious aircraft
n02704792	amphibian, amphibious vehicle
n02708093	analog clock
n02709637	anchor chain, anchor rope
n02709763	anchor light, riding light, riding lamp
n02709908	AND circuit, AND gate
n02710044	andiron, firedog, dog, dog-iron
n02715513	anteroom, antechamber, entrance hall, hall, foyer, lobby, vestibule
n02726305	apartment, flat
n02727426	apiary, bee house
n02727825	apparatus, setup
n02728440	apparel, wearing apparel, dress, clothes
n02729965	appliance, contraption, contrivance, convenience, gadget, gizmo, gismo, widget
n02730930	apron
n02731629	aqualung, Aqua-Lung, scuba
n02732072	aquarium, fish tank, marine museum
n02733213	arcade, colonnade
n02733524	arch
n02735268	arch support
n02738535	armchair
n02742753	arrow
n02747177	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
n02747802	ashtray
n02749479	assault rifle, assault gun
n02755823	attic
n02755984	attic fan
n02756098	attire, garb, dress
n02759387	autogiro, autogyro, gyroplane
n02761392	automaton, robot, golem
n02761834	automobile horn, car horn, motor horn, horn, hooter
n02762169	autopilot, automatic pilot, robot pilot
n02762725	auxiliary boiler, donkey boiler
n02762909	auxiliary engine, donkey engine
n02763306	auxiliary storage, external storage, secondary storage
n02763901	awning, sunshade, sunblind
n02764044	ax, axe
n02766320	baby bed, baby's bed
n02766534	baby buggy, baby carriage, carriage, perambulator, pram, stroller, go-cart, pushchair, pusher
n02766792	baby grand, baby grand piano, parlor grand, parlor grand piano, parlour grand, parlour grand piano
n02767147	baby shoe
n02767433	back, backrest
n02767665	back
n02768226	backboard, basketball backboard
n02769075	background, desktop, screen background
n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack
n02770211	back porch
n02770585	backsaw, back saw
n02772700	badminton racket, badminton racquet, battledore
n02773037	bag
n02773838	bag, traveling bag, travelling bag, grip, suitcase
n02774152	bag, handbag, pocketbook, purse
n02774630	baggage, luggage
n02774921	baggage
n02775039	baggage car, luggage van
n02775178	baggage claim
n02776631	bakery, bakeshop, bakehouse
n02777292	balance beam, beam
n02777734	balcony
n02778456	bale
n02778669	ball
n02779435	ball
n02782093	balloon
n02782602	balloon sail
n02783161	ballpoint, ballpoint pen, ballpen, Biro
n02786058	Band Aid
n02787622	banjo
n02788021	banner, streamer
n02788148	bannister, banister, balustrade, balusters, handrail
n02788572	baptismal font, baptistry, baptistery, font
n02789487	bar
n02790669	barbecue, barbeque
n02790996	barbell
n02791124	barber chair
n02791270	barbershop
n02793495	barn
n02794156	barometer
n02794972	barrage balloon
n02795169	barrel, cask
n02796207	barrel vault
n02796995	barroom, bar, saloon, ginmill, taproom
n02797295	barrow, garden cart, lawn cart, wheelbarrow
n02797692	base, pedestal, stand
n02799071	baseball
n02800213	baseball glove, glove, baseball mitt, mitt
n02800497	basement, cellar
n02801938	basket, handbasket
n02802215	basket, basketball hoop, hoop
n02802426	basketball
n02802544	basketball court
n02803809	basset horn
n02803934	bass fiddle, bass viol, bull fiddle, double bass, contrabass, string bass
n02804123	bass guitar
n02804414	bassinet
n02804610	bassoon
n02807133	bathing cap, swimming cap
n02807523	bath oil
n02807616	bathrobe
n02807731	bathroom, bath
n02808304	bath towel
n02808440	bathtub, bathing tub, bath, tub
n02810471	battery, electric battery
n02814428	beach towel
n02814533	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
n02814860	beacon, lighthouse, beacon light, pharos
n02815834	beaker
n02815950	beam
n02817516	bearskin, busby, shako
n02818832	bed
n02820210	bedclothes, bed clothing, bedding
n02821627	bedroom, sleeping room, sleeping accommodation, chamber, bedchamber
n02821943	bedroom furniture
n02822220	bedspread, bedcover, bed cover, bed covering, counterpane, spread
n02823335	beer barrel, beer keg
n02823428	beer bottle
n02823510	beer can
n02823750	beer glass
n02824058	beer mug, stein
n02824448	bell
n02825442	bellbottom trousers, bell-bottoms, bellbottom pants
n02825657	bell cote, bell cot
n02826068	bell jar, bell glass
n02826886	bell tower
n02827606	belt
n02828884	bench
n02829596	bench press
n02831724	berth, bunk, built in bed
n02834397	bib
n02834778	bicycle, bike, wheel, cycle
n02835271	bicycle-built-for-two, tandem bicycle, tandem
n02835412	bicycle chain
n02835915	bicycle seat, saddle
n02836035	bicycle wheel
n02836174	bidet
n02837789	bikini, two-piece
n02839351	billiard ball
n02839592	billiard room, billiard saloon, billiard parlor, billiard parlour, billiard hall
n02839910	bin
n02840245	binder, ring-binder
n02840619	binding, book binding, cover, back
n02841063	bin liner
n02841315	binoculars, field glasses, opera glasses
n02842573	biplane
n02843684	birdhouse
n02846511	blackboard, chalkboard
n02846619	blackboard eraser
n02848216	blade
n02848921	blank, dummy, blank shell
n02849154	blanket, cover
n02850732	blender, liquidizer, liquidiser
n02850950	blimp, sausage balloon, sausage
n02851099	blind, screen
n02856013	blue chip
n02857907	boards
n02858304	boat
n02859184	boater, leghorn, Panama, Panama hat, sailor, skimmer, straw hat
n02859343	boat hook
n02859443	boathouse
n02860415	bobbin, spool, reel
n02860847	bobsled, bobsleigh, bob
n02865351	bolo tie, bolo, bola tie, bola
n02865665	bolt
n02866578	bomb
n02867715	bomber
n02869155	bone china
n02869249	bones, castanets, clappers, finger cymbals
n02869563	boneshaker
n02869837	bonnet, poke bonnet
n02870526	book
n02870676	book bag
n02870880	bookcase
n02871439	bookshelf
n02871525	bookshop, bookstore, bookstall
n02871824	boom, microphone boom
n02871963	boomerang, throwing stick, throw stick
n02872752	boot
n02873520	boot
n02873623	boot camp
n02873839	booth, cubicle, stall, kiosk
n02874214	booth
n02876657	bottle
n02877765	bottlecap
n02877962	bottle opener
n02878222	bottom, freighter, merchantman, merchant ship
n02879087	bouquet, corsage, posy, nosegay
n02879309	boutique, dress shop
n02879718	bow
n02880940	bowl
n02881193	bowl
n02882190	bowling alley
n02882301	bowling ball, bowl
n02882483	bowling equipment
n02882647	bowling pin, pin
n02882894	bowling shoe
n02883205	bow tie, bow-tie, bowtie
n02883344	box
n02884450	box, box seat
n02884859	box beam, box girder
n02885882	box office, ticket office, ticket booth
n02886434	box wrench, box end wrench
n02887489	brace, suspender, gallus
n02889425	brake
n02890804	brake pedal
n02892201	brass, memorial tablet, plaque
n02892767	brassiere, bra, bandeau
n02894605	breakwater, groin, groyne, mole, bulwark, seawall, jetty
n02895154	breastplate, aegis, egis
n02897820	brick
n02898269	brick trowel, mason's trowel
n02898585	bridal gown, wedding gown, wedding dress
n02898711	bridge, span
n02899439	bridge, nosepiece
n02902687	bristle brush
n02906734	broom
n02907391	Browning automatic rifle, BAR
n02908217	brush
n02908773	Brussels carpet
n02909870	bucket, pail
n02910145	bucket seat
n02910353	buckle
n02912065	buffet, counter, sideboard
n02912557	buggy, roadster
n02913152	building, edifice
n02914991	building complex, complex
n02916179	bulldozer, dozer
n02916350	bullet, slug
n02916936	bulletproof vest
n02917067	bullet train, bullet
n02918964	bumper car, Dodgem
n02919414	bundle, sheaf
n02919792	bungalow, cottage
n02920083	bunk
n02920164	bunk, feed bunk
n02920259	bunk bed, bunk
